"old_id","new_id"
"72040A","72042A"
"72040B","72042B"
"72040C","72042C"
"72040D","72042D"
"72040E","72042E"
"71047A","72042F"
"72025A","72043A"
"72029A","72043B"
"72025B","72043C"
"45017A","45068A"
"45017C","45068B"
"45017D","45068C"
"45057A","45068D"
"45057B","45068E"
"45057C","45068F"
"44001A","44084A"
"44001B","44084B"
"44001C","44084C"
"44001D","44084D"
"44029A","44084E"
"44029B","44084F"
"44011A","44083A"
"44011B","44083B"
"44011C","44083C"
"44011D","44083D"
"44011E","44083E"
"44011F","44083F"
"44011G","44083G"
"44011H","44083H"
"44011J","44083I"
"44011K","44083J"
"44011L","44083K"
"44049A","44083L"
"44049B","44083M"
"44049C","44083N"
"44049D","44083O"
"44049E","44083P"
"44049F","44083Q"
"12030A","12041A"
"12030B","12041B"
"12030C","12041C"
"12030D","12041D"
"12034A","12041E"
"12034B","12041F"
"12034C","12041G"
"44072A","44085A"
"44036A","44085B"
"44036B","44085C"
"44080A","44085D"
"44080B","44085E"
"44080C","44085F"
